City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Anchorage,US,2020-08-25 05:56:53,61.22,-149.9,57.2,87,75,4.7,light rain
1,Okhtyrka,UA,2020-08-25 06:00:02,50.31,34.9,71.08,44,79,8.21,broken clouds
2,Okakarara,NA,2020-08-25 06:00:03,-20.58,17.43,57.52,36,0,5.14,clear sky
3,Hilo,US,2020-08-25 05:53:44,19.73,-155.09,80.6,69,75,4.7,broken clouds
4,Kushima,JP,2020-08-25 06:00:04,31.46,131.23,91.4,70,20,14.99,shower rain
5,Bismarck,US,2020-08-25 05:54:38,46.81,-100.78,68.0,82,1,3.36,clear sky
6,Hermanus,ZA,2020-08-25 05:53:22,-34.42,19.23,46.0,94,83,5.88,broken clouds
7,Longyearbyen,SJ,2020-08-25 05:53:25,78.22,15.64,39.2,80,20,4.7,few clouds
8,Tasgaon,IN,2020-08-25 06:00:05,17.03,74.6,81.57,68,62,13.04,broken clouds
9,Vaini,TO,2020-08-25 05:53:24,-21.2,-175.2,77.0,88,20,4.7,few clouds
10,Saint-Philippe,RE,2020-08-25 05:54:05,-21.36,55.77,75.2,64,39,6.93,scattered clouds
11,Colac,AU,2020-08-25 05:55:12,-38.33,143.58,54.0,89,57,6.44,broken clouds
12,Quatre Cocos,MU,2020-08-25 05:55:12,-20.21,57.76,73.99,69,75,14.99,shower rain
13,Ushuaia,AR,2020-08-25 05:49:19,-54.8,-68.3,32.0,90,75,2.24,broken clouds
14,Lavrentiya,RU,2020-08-25 05:53:31,65.58,-171.0,48.09,90,87,3.24,overcast clouds
15,Barrow,US,2020-08-25 05:53:23,71.29,-156.79,42.8,87,90,5.82,overcast clouds
16,Jamestown,US,2020-08-25 05:53:36,42.1,-79.24,73.99,83,20,8.05,few clouds
17,Severo-Kurilsk,RU,2020-08-25 05:54:04,50.68,156.12,56.35,80,40,7.02,scattered clouds
18,Busselton,AU,2020-08-25 05:53:29,-33.65,115.33,68.0,35,46,6.06,scattered clouds
19,Punta Arenas,CL,2020-08-25 05:53:24,-53.15,-70.92,32.0,88,0,12.75,clear sky
20,Puerto Ayora,EC,2020-08-25 05:53:45,-0.74,-90.35,66.99,88,80,9.48,broken clouds
21,Sao Joao Da Ponte,BR,2020-08-25 06:00:08,-15.93,-44.01,55.74,84,0,6.26,clear sky
