City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
8,Tasgaon,IN,81.57,broken clouds,17.03,74.6,Rajan Patil Mala
9,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
24,Ixtapa,MX,82.4,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
25,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
29,Adrar,MR,88.7,clear sky,20.5,-10.07,
41,Kirakira,SB,83.62,light rain,-10.45,161.92,SanBiz Lodge
46,Sao Filipe,CV,77.32,scattered clouds,14.9,-24.5,Tortuga B&B
56,Hamilton,US,78.01,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
57,Bengkulu,ID,88.75,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
58,Barmer,IN,79.63,light rain,25.75,71.38,OYO 71911 Hotel Amber Palace
64,Faya,SA,75.2,few clouds,18.39,42.45,مقبرة ال مجمل
65,Yueyang,CN,77.4,overcast clouds,29.33,113.09,Delong Fortune Hotel
67,Enshi,CN,88.99,overcast clouds,30.3,109.48,Moevenpick Enshi
68,Mahibadhoo,MV,83.7,scattered clouds,3.78,72.97,Omadhoo Inn
72,Fort Walton Beach,US,80.01,moderate rain,30.41,-86.62,Best Western Ft. Walton Beachfront
73,Arlit,NE,86.45,light rain,18.74,7.39,Hôtel Telwa Bungalow
74,San Patricio,MX,79.38,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
75,Virginia Beach,US,80.01,overcast clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
81,Padang,ID,86.0,light rain,-0.95,100.35,Mercure Padang
82,Thinadhoo,MV,83.79,broken clouds,0.53,72.93,
84,Lahij,YE,87.51,light rain,13.17,44.58,
86,Saraland,US,77.0,overcast clouds,30.82,-88.07,Microtel Inn & Suites by Wyndham Saraland/North Mobile
87,Sambava,MG,75.78,broken clouds,-14.27,50.17,Melrose
94,Oistins,BB,82.4,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
96,Ransang,PH,90.0,broken clouds,8.96,117.58,
98,Saint George,US,89.6,light rain,37.1,-113.58,Best Western Plus Abbey Inn
101,Pundaguitan,PH,84.88,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
102,Dumas,US,75.99,clear sky,35.87,-101.97,Holiday Inn Express & Suites Dumas
103,Bubaque,GW,80.08,moderate rain,11.28,-15.83,Casa Dora
104,Atuona,PF,78.57,clear sky,-9.8,-139.03,Villa Enata
106,Saint-Pierre,RE,75.2,clear sky,-21.34,55.48,Lindsey Hôtel
113,Ambon,ID,80.26,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
117,Port Blair,IN,86.29,overcast clouds,11.67,92.75,Fortune Resort Bay Island
119,Hithadhoo,MV,83.5,light rain,-0.6,73.08,Scoop Guest House
122,Port-Gentil,GA,77.0,light rain,-0.72,8.78,Fengshui Residence
124,Laguna,US,79.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
133,Katsuura,JP,90.0,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
140,Beyneu,KZ,78.89,scattered clouds,45.32,55.2,NUR
144,Sonoita,MX,89.01,overcast clouds,31.85,-112.83,Motel San Antonio
150,Kavieng,PG,83.77,clear sky,-2.57,150.8,Nusa Island Retreat
161,Yulara,AU,87.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
174,Trairi,BR,76.84,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
176,Ceyhan,TR,82.4,broken clouds,37.02,35.82,Ilbeyli Kiz Ogrenci Yurdu
180,Bambanglipuro,ID,86.72,clear sky,-7.95,110.28,Puri Brata
181,Ligayan,PH,85.3,scattered clouds,4.65,119.47,
189,Balabac,PH,86.61,broken clouds,7.99,117.06,Sing and Swing Lodge
190,Shulan,CN,78.26,broken clouds,44.42,126.95,Shulan Hotel
194,Cody,US,75.2,clear sky,44.53,-109.06,Buffalo Bill (Cabins) Village
196,Badulla,LK,87.06,overcast clouds,6.99,81.06,Budget comfort holiday
197,Totness,SR,78.08,scattered clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
204,Malkangiri,IN,86.52,moderate rain,18.35,81.9,Girls' Hostel
207,Firozpur,IN,89.6,smoke,30.92,74.6,Singhz Guest House
213,Kendari,ID,84.0,scattered clouds,-3.94,122.5,Hotel Wixel
217,Atambua,ID,83.97,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
220,Sakakah,SA,86.0,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
223,Saint Pete Beach,US,82.4,clear sky,27.73,-82.74,TradeWinds Island Grand Resort
224,Lorengau,PG,81.81,light rain,-2.02,147.27,Lorengau Harbourside Hotel
227,Kinablangan,PH,86.99,scattered clouds,7.69,126.55,Mainit Balete Hot Spring
228,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
231,Curup,ID,84.2,overcast clouds,-3.47,102.53,Rumah michiels
238,Gushikawa,JP,86.0,heavy intensity drizzle,26.35,127.87,Kirari Guest House
239,Banjar,ID,84.2,scattered clouds,-8.19,114.97,The Hamsa Resort
240,Roanoke,US,75.2,clear sky,37.27,-79.94,"The Hotel Roanoke & Conference Center, Curio Collection by Hilton"
242,Kathmandu,NP,82.4,broken clouds,27.72,85.32,Hotel Shanker Kathmandu
245,Porto Novo,BJ,75.2,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
248,Fallon,US,79.0,broken clouds,39.47,-118.78,Best Western Fallon Inn & Suites
249,Kandrian,PG,79.79,light rain,-6.22,149.55,Kandrian Station
252,Faanui,PF,77.16,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
255,Atar,MR,82.27,clear sky,20.52,-13.05,Oumou Elghoura
257,Los Llanos De Aridane,ES,80.01,few clouds,28.66,-17.92,Valle Aridane
259,Bowen,AU,75.2,clear sky,-20.02,148.23,Castle Motor Lodge Motel
260,San Ramon,US,75.0,smoke,37.78,-121.98,San Ramon Marriott
263,Rock Sound,BS,83.14,clear sky,24.9,-76.2,Rock Sound Club
270,Sorong,ID,82.85,moderate rain,-0.88,131.25,The Waigo Hotel
273,Surt,LY,79.09,light rain,31.21,16.59,City Hotel
275,Ratnagiri,IN,83.64,broken clouds,16.98,73.3,Hotel Landmark
281,Marzuq,YE,86.85,broken clouds,14.4,46.47,
288,Oussouye,SN,77.59,broken clouds,12.48,-16.55,Auberge du Routard
292,Chirawa,IN,88.68,scattered clouds,28.24,75.64,poonia sadan
293,Jiwani,PK,83.05,overcast clouds,25.05,61.74,Al Mumtaz Transport Jiwani
295,Sigli,ID,84.7,light rain,5.38,95.96,Hotel Riza
296,Marovoay,MG,77.0,scattered clouds,-16.1,46.63,
305,Andros Town,BS,84.2,scattered clouds,24.7,-77.77,Hanks place
308,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
311,Buzmeyin,TM,75.2,overcast clouds,38.05,58.21,
315,Oranjestad,AW,82.83,broken clouds,12.52,-70.03,Divi Village Golf & Beach Resort
316,Karacabey,TR,75.2,scattered clouds,40.22,28.4,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
317,Auki,SB,83.71,light rain,-8.77,160.7,Auki Motel
318,Yanam,IN,87.8,broken clouds,16.73,82.22,The Regency Hotel
320,Esmeralda,CU,77.0,few clouds,21.85,-78.12,campismo las palmas
321,Vanimo,PG,84.0,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
