City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint Anthony,US,2020-08-24 01:39:06,45.02,-93.22,82.99,57,1,3.36
1,Ushuaia,AR,2020-08-24 01:34:10,-54.8,-68.3,32.0,93,90,9.17
2,Punta Arenas,CL,2020-08-24 01:35:40,-53.15,-70.92,33.8,86,20,24.16
3,Chokurdakh,RU,2020-08-24 01:39:06,70.63,147.92,38.14,76,100,10.47
4,Kyabe,TD,2020-08-24 01:39:07,9.45,18.94,71.31,96,100,3.51
5,Coffs Harbour,AU,2020-08-24 01:39:07,-30.3,153.13,64.0,27,0,11.41
6,Hithadhoo,MV,2020-08-24 01:38:20,-0.6,73.08,82.31,80,100,14.47
7,Nikolskoye,RU,2020-08-24 01:39:08,59.7,30.79,61.0,87,94,2.24
8,Albany,US,2020-08-24 01:39:08,42.6,-73.97,69.01,90,16,2.24
9,Bredasdorp,ZA,2020-08-24 01:34:46,-34.53,20.04,55.4,93,100,2.24
10,Bengkulu,ID,2020-08-24 01:39:08,-3.8,102.27,82.74,68,54,4.94
11,Jamestown,US,2020-08-24 01:38:04,42.1,-79.24,71.01,83,1,5.82
12,Khatanga,RU,2020-08-24 01:39:09,71.97,102.5,64.56,53,99,11.81
13,Barrow,US,2020-08-24 01:35:01,71.29,-156.79,46.4,75,1,6.93
14,Airai,TL,2020-08-24 01:39:09,-8.93,125.41,73.89,37,0,6.67
15,Benesov Nad Ploucnici,CZ,2020-08-24 01:39:10,50.74,14.31,55.0,94,0,2.42
16,Rikitea,PF,2020-08-24 01:37:55,-23.12,-134.97,71.24,83,15,19.8
17,Ponta Do Sol,PT,2020-08-24 01:39:10,32.67,-17.1,77.0,57,20,18.34
18,Puerto Ayora,EC,2020-08-24 01:38:19,-0.74,-90.35,66.0,87,32,1.99
19,Thompson,CA,2020-08-24 01:39:11,55.74,-97.86,53.6,100,90,5.82
20,Bethel,US,2020-08-24 01:38:46,41.37,-73.41,75.2,83,1,4.7
21,Kapit,MY,2020-08-24 01:39:11,2.02,112.93,84.0,73,47,2.42
22,Faanui,PF,2020-08-24 01:38:42,-16.48,-151.75,77.13,79,9,18.77
23,Busselton,AU,2020-08-24 01:39:12,-33.65,115.33,60.01,67,7,4.07
24,Ngunguru,NZ,2020-08-24 01:39:12,-35.62,174.5,55.99,3,93,11.99
25,Tornio,FI,2020-08-24 01:39:13,65.85,24.15,53.6,81,89,4.7
26,Port Elizabeth,ZA,2020-08-24 01:39:13,-33.92,25.57,55.4,87,75,6.93
27,Nanortalik,GL,2020-08-24 01:39:13,60.14,-45.24,42.73,86,29,6.96
28,Zhezkazgan,KZ,2020-08-24 01:39:13,47.8,67.71,67.05,48,100,13.02
29,Dikson,RU,2020-08-24 01:38:25,73.51,80.55,45.91,81,0,12.44
30,Cherskiy,RU,2020-08-24 01:39:14,68.75,161.3,39.09,93,100,9.1
31,Port Lincoln,AU,2020-08-24 01:39:14,-34.73,135.87,53.8,67,100,7.14
32,Port Alfred,ZA,2020-08-24 01:38:03,-33.59,26.89,57.45,81,100,10.22
33,Ancud,CL,2020-08-24 01:39:15,-41.87,-73.82,42.01,93,90,16.11
34,Vila Franca Do Campo,PT,2020-08-24 01:39:15,37.72,-25.43,69.8,88,20,3.36
35,Mataura,NZ,2020-08-24 01:38:03,-46.19,168.86,60.01,72,39,5.01
36,Hilo,US,2020-08-24 01:39:15,19.73,-155.09,84.2,70,40,6.93
37,Alyangula,AU,2020-08-24 01:39:16,-13.85,136.42,82.4,34,12,10.29
38,Ajra,IN,2020-08-24 01:39:16,16.12,74.2,69.8,100,75,6.93
39,Hermanus,ZA,2020-08-24 01:39:16,-34.42,19.23,55.0,95,100,6.46
40,Shenjiamen,CN,2020-08-24 01:39:17,29.96,122.3,83.86,77,0,9.69
41,Mar Del Plata,AR,2020-08-24 01:38:03,-38.0,-57.56,51.01,87,70,13.87
42,Weligama,LK,2020-08-24 01:39:17,5.97,80.42,80.28,77,96,4.65
43,Pangnirtung,CA,2020-08-24 01:39:17,66.15,-65.71,45.84,78,100,2.13
44,Cape Town,ZA,2020-08-24 01:35:26,-33.93,18.42,57.99,93,20,10.29
45,Tuktoyaktuk,CA,2020-08-24 01:39:18,69.45,-133.04,69.8,56,75,12.75
46,Barra Dos Coqueiros,BR,2020-08-24 01:39:18,-10.91,-37.04,75.2,78,20,2.24
47,Brigham City,US,2020-08-24 01:39:19,41.51,-112.02,93.2,12,1,2.73
48,Cabo San Lucas,MX,2020-08-24 01:39:19,22.89,-109.91,87.8,55,5,4.7
49,Tiksi,RU,2020-08-24 01:39:19,71.69,128.87,40.53,71,99,12.55
50,El Tarra,CO,2020-08-24 01:39:20,8.58,-73.09,75.97,83,99,1.59
51,Mingguang,CN,2020-08-24 01:39:20,32.78,117.96,87.82,74,0,9.6
